,id,name,rating,address,city,lat,long
196,9eCvIo1rMjUKstDxnIZysw,happy lemon,4.4,1320 4th st,San Francisco,37.77153599095925,-122.3914588
197,Xlpn65pb_N3dOAh4r3CPRg,teaspoon,4.2,2060 santa rosa ave,Santa Rosa,38.4181,-122.712151
198,rdfrRK1Z7Ib9T8HaaIjvng,bb tea,3.8,1314 noriega st,San Francisco,37.7542929,-122.4779253
199,EPBxD2-V84eBw_wPCdpcIA,kudos tea & coffee,5.0,1111 a st,Antioch,38.01026,-121.80555
200,IGNGgvi8Y_SkAcE582sEtQ,big-bang boba & chicken,4.1,4383 clayton rd,Concord,37.964147,-121.989263
201,2llqB7nN-Dne7wQ-8LSRTw,p-town coffee & tea,4.4,152 reina del mar ave,Pacifica,37.6134281,-122.48717910279969
202,ubIBeGZhNbCnQDdvmqz0pQ,boba ninja,4.0,2519b durant ave,Berkeley,37.868050887713125,-122.2581362
203,XQtbYdFZe7b0UJxv0iZZqw,t% coffee +tea -  sacramento midtown,4.2,1809 s st,Sacramento,38.56758,-121.48659
204,oOqFOKQQovc747Ikp4caQQ,sharetea,3.8,699 lewelling blvd,San Leandro,37.687542918534035,-122.13614720213832
205,tSC90pSRUyd26yIHCTzKhA,cafe tapioca,3.7,7160 regional st,Dublin,37.70416,-121.93522
206,5mYhfv4sSOfMOP-8tsd8Iw,purtea,4.4,1422 ocean ave,San Francisco,37.724469790960065,-122.4576936
207,b_ZEMFwyT0jevqayB6Zu-g,fidi - little sweet,4.8,224 kearny st,San Francisco,37.7904007394903,-122.40375333226862
208,OfDHsRT8AIzYkcusPWiWtw,milk tea lab,4.0,136 b peabody rd,Vacaville,38.352552,-121.97741
209,b_bN3q16Ru773fU4ct6axw,raretea,4.3,414 k st,Sacramento,38.58101494760445,-121.50095581510554
210,Kpc-9OvdDdPTavjFArqkIA,zero&,4.1,437 hayes st,San Francisco,37.77654,-122.42358
211,zTtQf-quH1yJXdHIWnWFQg,t4 clayton,3.8,5434 ygnacio valley rd,Concord,37.950077,-121.957965
212,YR_z_2sDCdLuEVQKLOTfeA,milky way tea shoppe,4.3,4288 dublin blvd,Dublin,37.70449907406939,-121.87535557402212
213,anyi2XunXz-P-t7zMeWqlQ,caffe:in,3.9,1788 decoto rd,Union City,37.58798,-122.01945
214,OET95j8SPWCWiZX9LMuxOw,teapot,3.5,60 golf club rd,Pleasant Hill,37.972,-122.0656
215,SuCg3PrDIgPVURUEl_x39Q,fat straw cafe,3.8,980 murrieta blvd,Livermore,37.6761474995967,-121.785110675949
216,6_hMB9raWPCEkarQHMrwuw,devil & angel desserts,3.9,3336 n texas st,Fairfield,38.289570599834185,-122.0322023
217,RwddON9K86BUaQvAT5WBbA,japantown - little sweet,4.1,1660 geary blvd b,San Francisco,37.78497,-122.43068
218,gYv1rNRvTc8prBIcx8ft9A,yum cha boba tea & more,3.8,380 w country club dr,Brentwood,37.92631050099092,-121.7531616
219,ztIhKwfyEWfqKnAgSra7sw,frostea,3.3,5032a mission st,San Francisco,37.71802316894108,-122.4400807
220,UyQod6MXP1Nl4G7bZB6v0A,zero& stoneridge,4.2,1732 stoneridge mall rd,Pleasanton,37.69517654501347,-121.92874644457058
221,fVo3X5s8u6LsNWfYhRL0GA,bobaloca,3.4,1843 willow pass rd,Concord,37.975214,-122.038737
222,owjPOOxvTzhYIykQ71FNbQ,sharetea,3.8,461 skymaster dr,Fairfield,38.26940457186329,-121.9494441
223,nHOnHIH1wjv0t7TeKDX58A,sip & savor,4.8,26953 mission blvd,Hayward,37.644378,-122.062465
224,ZoCIc5QmPJEx92aM0XQVug,koba cafe,4.8,702 grand central ave,Vienna,39.30470874644289,-81.54903570048306
225,qT-_1jAtqkSiWkCi-tlBAg,quickly benicia,3.8,822 southampton rd,Benicia,38.06592585569405,-122.16528174455684
226,sRfCxslZU0hE5A8YenQuLQ,rrags caffe,4.2,1383 e 2nd st,Benicia,38.0543882,-122.1526928
227,s-ihKanDRDHTD8U49HFA5Q,lovejoy's tea room,4.3,1351 church st,San Francisco,37.74919,-122.42689
228,Afebgbsil7b0c_1CxkNU0g,dessert cafe concord,4.2,4115 concord blvd,Concord,37.97912604298747,-121.992719
229,4HZRHw82XE3LSuNHKfgjBQ,hey! i am yogost,4.2,2725 stoneridge dr,Pleasanton,37.69712,-121.85038
230,m4H1fiJGkYAANDIpSm37Rw,mr. green bubble,3.5,1539 locust st,Walnut Creek,37.9000639934234,-122.062495370938
231,5i_vY3774jJzE5b1vYUMrg,teance fine teas,4.3,1036 grayson st,Berkeley,37.85587,-122.28835
232,xVqhyeFFo3dBc8PLk7DEVg,dartealing lounge,3.9,470 3rd st,San Francisco,37.7815,-122.39645
233,pv5-sxnpf1K0nGfuUWtD1g,crown & crumpet tea salon,4.1,1746 post st,San Francisco,37.785611641947064,-122.43053056348056
234,f1ET_D8Dhz4R89pNli1UGA,double rainbow cafe,4.2,850 4th st,San Rafael,37.9730794,-122.5250291
235,Uy_2_nHmgu_KLqlw5da4Bg,t4 - walnut creek,3.3,1815 ygnacio valley rd,Walnut Creek,37.9174137,-122.0375497
236,Mv4h10gLVue99Z4alCAXVQ,mochinut,3.8,2701 pinole valley rd,Pinole,37.99524312514671,-122.28522636770286
237,qrp5Zip1Tb4-EeBJ13GS-w,three tea bowls - pop-up tea bar,4.7,139 berkeley sq,Berkeley,37.870773377265934,-122.2680943
238,Qu6LoTMYDZNNNAPxyEBjog,kuboba spot,4.8,2618 telegraph ave,Berkeley,37.86249,-122.25914
239,LtmeVhFDj_FGo0RyyHs3tg,t time,4.0,2121 loveridge rd,Pittsburg,38.010535,-121.868739
240,qaq_ZrXVpV-IlSNJ7tB_kw,milk tea lab,4.3,5100 clayton rd,Concord,37.95469,-121.96732
241,rAwat6XvsvURW75asrzdlA,sharetea,4.2,4705 century blvd,Pittsburg,38.00635509589488,-121.8355046237642
242,er7V2g6XD7kaJ6Kxc0FA1g,teaspoon - berkeley,4.0,2129 university ave,Berkeley,37.8724101,-122.2675352
243,w4ho2Nui5ONcGSSHfsT5rQ,u cha,4.0,2199 bancroft way,Berkeley,37.8718211,-122.2601405
244,JsuA08k9tqWS3YGL8KR2fQ,yi fang taiwan fruit tea,4.0,2516 bancroft way,Berkeley,37.86868712916702,-122.258649
245,lxSe6gMhscHsh-dsnc2_nA,teaspoon,4.2,2977 ygnacio valley rd,Walnut Creek,37.926289087271485,-122.0146928
246,_v9oqd0bkaa2CZrTsws1hw,hay tea,3.7,2505 hearst ave,Berkeley,37.875378,-122.25975
247,wBvDeIMjm_bq7dfyyusAwg,purple kow,3.4,3620 balboa st,San Francisco,37.775906,-122.497818
248,a_1cALbyEqbNe583ffusSQ,purple kow,3.5,2508 channing way,Berkeley,37.866891184384755,-122.2584038
249,Vd_UQk6FuHhfxoEMEHmMgQ,t4,3.2,9140 alcosta blvd,San Ramon,37.73021,-121.93009
250,vuPcfacHSyloUA74GtgAzw,honeybear boba,4.2,801 22nd st,San Francisco,37.75776,-122.38948
251,GlHPOCV_nF8JgJF1N8wevw,rare tea,3.8,2440 bancroft way,Berkeley,37.868449890427286,-122.26035931017456
252,mUfcBzEq2xzE8yXEp8lXeA,i-tea,3.6,915 main st,Pleasanton,37.66591,-121.87418
253,vMiM0kaavveZZ61lBe-LJg,plentea,3.7,341 kearny st,San Francisco,37.7914264423265,-122.404249032891
254,zG__52sXLa8pRrklRc8Q3g,happy lemon,4.4,99 drumm st,San Francisco,37.79442,-122.39683
255,1Oarv6Que_QwRMyhYaq7mQ,hui lau shan,4.5,2282 fulton st,Berkeley,37.868171,-122.266317
256,a4B5GqMVvelxUGs7kEgLZQ,yifang taiwan fruit tea - colma,3.3,4923 junipero serra blvd,Colma,37.67446517,-122.46550933
257,iUmbKyDGGWawQIthH_Plkg,teaspoon,4.3,2151 salvio st,Concord,37.978008,-122.034393
258,VQPtsRVNTFkFptcXDTtIyg,urban ritual,4.4,488 fell st,San Francisco,37.77576,-122.42585
259,4QtyWGHpDGd_6T1kc_p1ng,cha thai tea,4.9,1796 shattuck ave,Berkeley,37.874905,-122.268925
260,wqbjoeKzk8eVfCgd1jMZtA,asha tea house,4.1,2086 university ave,Berkeley,37.8719582,-122.268859
261,EVpCq4XDSrdWBqbfZHdrtw,far leaves tea,4.5,2626 san pablo ave,Berkeley,37.8582295755562,-122.288873371521
262,Hpti4sJH8Pu2koxAlJXPqw,the alley,3.7,2315 telegraph ave,Berkeley,37.86832,-122.25887
263,ZpyXF5Jy1ucxT1_umGRc3A,plentea,3.9,2430 durant ave,Berkeley,37.867543,-122.259575
264,V_lg8ITRNbKpfeqDRIZrKQ,u dessert story - berkeley,4.2,1849 shattuck ave,Berkeley,37.874202,-122.268364
265,1JAjGEY52DcoQ6tU3HBEEA,sharetea,3.6,2328 telegraph ave,Berkeley,37.868122,-122.25929
266,s5Yx4iwQ-bTfmmLRRL1qGQ,813 cha siam,4.7,2965 college ave,Berkeley,37.856839,-122.252839
267,LPME3Tfy4-9M9hVkGTWoQA,elaichi co.,4.4,2161 allston way,Berkeley,37.870019860183085,-122.26647291965224
268,VHXG9_iRaxV2QU0JR21JbA,wow wow hawaiian lemonade,4.6,2332 telegraph ave,Berkeley,37.868191,-122.259316
269,bWTd4CGOd1LKUm-sbFPgmQ,happy lemon,4.0,2106 shattuck ave,Berkeley,37.87087,-122.26857
270,j9tMEV719PzFcc_wp8mzlw,sweetheart cafe,3.5,2523 durant ave,Berkeley,37.8680525,-122.258168
271,ExuFp1teWDUMbvU4Y-p6jg,happy lemon,3.1,3288 pierce st,Richmond,37.898379795483635,-122.3077125
272,s_uwKYHa6hqhJ4Xkb5d9IQ,mochinut berkeley,3.1,2969 shattuck ave,Berkeley,37.85578451254983,-122.26637497342368
273,ltTQE83zSM9lqfTmz3bbzg,caravaggio gelato lab,4.5,1797 shattuck ave,Berkeley,37.8751218549228,-122.268521988134
274,lr7QNXQCoLWSx3NNFC-ZRg,tay tah cafe,4.0,1182 solano ave,Albany,37.89023,-122.29626
275,b8ieeH8taeS7If6R7FGf8w,organic greens | berkeley,4.2,2177 kittredge st,Berkeley,37.8687292271306,-122.266450293734
276,LNdmk-ZXmTE8a2xQGL3OeQ,yogurt park,4.3,2433 durant ave,Berkeley,37.8679885864258,-122.259841918945
277,-bZmCidF9-JI4ufJhk9BHA,humphry slocombe - berkeley,3.7,2948 college ave,Berkeley,37.85726,-122.2533
278,FwZBCCliGJF26eJ4eL9Baw,menchie's frozen yogurt,4.3,1862 euclid ave,Berkeley,37.875323,-122.260386
279,-d_5w-b7cjo9f-M-f_57pA,biju bubble tea room,3.8,45 old compton street,London,51.5127048,-0.1321942
280,6IW427m7Gc_aAWsdxSD0Xw,bobajam,4.8,80 dean street,London,51.5141645,-0.1330991
281,nOYtSW76HBkmqmI_mbfCVg,bubbleology,3.1,23 cromwell place,London,51.494573,-0.17439
282,bM4i_JbpURfbJ6l_pIxMSQ,chatime,4.8,68 rivington street,London,51.5261358500562,-0.0800114841471178
283,zf9tnxwaDRLh7sRSeK6_uw,gonuts boba tea,5.0,228 holloway road,London,51.5526395,-0.1118493
284,eINyFVlU9McjEtiUyO6DeA,coco fresh tea & juice soho,4.4,52 dean street,London,51.512451171875,-0.131521999835968
285,TqSnt86jxwyllhb-WVV8wQ,yi fang,4.3,brushfield st,London,51.5196988441591,-0.0753336575999231
286,0GDLW8kRo8TgD6CGh7GZJw,good friend,4.6,14 little newport steet,London,51.5117723082675,-0.128832533955574
287,4olVEJN71cEVd8QCMHb38w,woo tea,3.3,g/f-24 wardour street,London,51.5112485677036,-0.131984800100327
