,id,name,rating,price,review_count,address,city,lat,long
641,Qj28r73QxOwZVzlGlD511w,Fantasia Coffee & Tea,3.0,$$,522,"3969 Rivermark Plz, Santa Clara, CA 95054",Santa Clara,37.3953035880334,-121.946540661156
642,DDlVI9ZuVpCN-0D9setS5A,Pho Hoa & Jazen Tea,3.4,$$,605,"3147 Mission College Blvd, Santa Clara, CA 95054",Santa Clara,37.389509,-121.983566
643,G0yia3d7g84_azPrWlr3oA,Gong cha,3.9,$,143,"2712 Augustine Dr, Ste 110, Santa Clara, CA 95054",Santa Clara,37.381582,-121.974879
644,MhFzzBJiehMNwnsdMMF_Gw,Yeti Tea &,4.2,N/A,46,"6178 Mission St, Daly City, CA 94014",Daly City,37.70693806267754,-122.4587324
645,a4B5GqMVvelxUGs7kEgLZQ,Yifang Taiwan Fruit Tea - Colma,3.3,$$,248,"4923 Junipero Serra Blvd, Colma, CA 94014",Colma,37.67446517,-122.46550933
646,xhW1trRxLbYLW0lsnNM8WA,Tiger Tea & Juice - Daly City,4.2,$$,66,"79 Skyline Plz, Daly City, CA 94015",Daly City,37.6820109104605,-122.48732334326576
647,eVmfHVTi_T5HVtwMnbDzEA,SweetHoney Dessert  - Colma,3.8,$$,937,"15 Colma Blvd, Colma, CA 94014",Colma,37.6771849,-122.4688645
648,rrNm7ZwvcwFvQZDNoHkfJA,7 Leaves Cafe,3.4,N/A,129,"3931 Alemany Blvd, Ste 2003, San Francisco, CA 94132",San Francisco,37.7103569,-122.4675354
649,kXt-6oFKY6hdv3z99soZyA,My Cup of Tea,3.7,$$,317,"2666 Ocean Ave, San Francisco, CA 94132",San Francisco,37.7324479375044,-122.474476604064
650,0eK-22YX4XvpWDMpoQGHmw,Teaever,3.0,N/A,37,"950 King Dr, Daly City, CA 94015",Daly City,37.651443,-122.468541
651,erYYJowEw5Z_gqXdT0XuQQ,Tpumps,3.6,$,1274,"1916 Irving St, San Francisco, CA 94122",San Francisco,37.7636264,-122.4785915
652,P8ig_SMgDLZAU-uJxahRyg,Tea World,4.3,N/A,10,"3573 Callan Blvd, South San Francisco, CA 94080",South San Francisco,37.64341615056905,-122.4633936077322
653,bJVG2kiZS9bStgtzmIS7KA,Dots,4.2,$$,219,"1330 Ocean Ave, San Francisco, CA 94112",San Francisco,37.72422984529108,-122.4570393894637
654,khpoEMBwgQitHAqVVMrOog,Boba Guys,4.1,$$,419,"1002 16th St, San Francisco, CA 94107",San Francisco,37.7665676429306,-122.397055947925
655,tH3p2yvKNcP-qi3kjA9SnA,Milktopia,4.1,$$,104,"1139 Taraval St, San Francisco, CA 94116",San Francisco,37.742812717526185,-122.4785801
